job_id,repair_type,repair_time_hours,priority
J1,Check engine light diagnosis,3,2
J2,Battery replacement,3,7
J3,Check engine light diagnosis,4,7
J4,Oil change,2,3
J5,Engine diagnostic scan,2,9
J6,Spark plug replacement,2,5
J7,Wheel alignment,1,10
J8,Brake inspection,3,6
J9,Transmission inspection,3,6
J10,Brake inspection,2,6
J11,Tire replacement,1,10
J12,Transmission inspection,2,8
J13,Alternator inspection,2,3
J14,Check engine light diagnosis,4,2
J15,ABS warning light diagnosis,2,4
J16,Brake pad replacement,3,5
J17,Battery replacement,3,8
J18,Tire replacement,3,8
J19,ABS warning light diagnosis,3,4
J20,ABS warning light diagnosis,2,2
J21,Transmission inspection,3,1
J22,Brake inspection,2,4
J23,Engine diagnostic scan,3,3
J24,Battery replacement,1,5
J25,Check engine light diagnosis,2,4
J26,ABS warning light diagnosis,3,7
J27,Oil change,1,6
J28,Engine diagnostic scan,3,3
J29,Alternator inspection,3,8
J30,Suspension noise diagnosis,2,6
J31,Brake pad replacement,3,9
J32,Spark plug replacement,3,3
J33,Oil change,3,3
J34,Oil change,2,2
J35,Suspension noise diagnosis,2,5
J36,Oil change,1,6
J37,Spark plug replacement,2,9
J38,Brake inspection,3,10
J39,Battery replacement,2,9
J40,Alternator inspection,4,2
J41,ABS warning light diagnosis,3,1
J42,Tire pressure sensor reset,1,6
J43,Brake inspection,2,2
J44,Brake inspection,2,4
J45,Transmission inspection,4,7
J46,Brake inspection,2,8
J47,Transmission inspection,2,10
J48,Coolant system service,1,5
J49,Engine diagnostic scan,4,2
J50,Tire replacement,2,2
J51,Oil change,2,7
J52,Oil change,2,4
J53,Wheel alignment,4,5
J54,Transmission inspection,3,9
J55,Spark plug replacement,3,2
J56,Coolant system service,2,3
J57,Oil change,2,6
J58,Alternator inspection,2,5
J59,Brake inspection,1,9
J60,Coolant system service,2,8
J61,Brake pad replacement,2,3
J62,Tire replacement,4,5
J63,Check engine light diagnosis,2,5
J64,Wheel alignment,1,3
J65,Wheel alignment,4,3
J66,Check engine light diagnosis,3,10
J67,Brake inspection,1,8
J68,Alternator inspection,1,1
J69,Alternator inspection,2,1
J70,Check engine light diagnosis,2,3
J71,Tire pressure sensor reset,2,2
J72,Tire replacement,1,4
J73,Transmission inspection,2,3
J74,Check engine light diagnosis,4,3
J75,Brake pad replacement,1,4
J76,Brake pad replacement,1,5
J77,Brake inspection,4,4
J78,Transmission inspection,2,3
J79,ABS warning light diagnosis,2,5
J80,Wheel alignment,3,3
J81,Alternator inspection,4,8
J82,Coolant system service,2,5
J83,Battery replacement,3,9
J84,Tire pressure sensor reset,3,7
J85,Check engine light diagnosis,3,6
J86,Battery replacement,3,9
J87,Check engine light diagnosis,3,6
J88,Brake pad replacement,3,5
J89,Tire replacement,2,3
J90,Transmission inspection,2,2
J91,ABS warning light diagnosis,2,7
J92,Tire replacement,3,6
J93,Tire replacement,2,2
J94,Tire pressure sensor reset,1,7
J95,Brake inspection,2,8
J96,Tire replacement,2,8
J97,Tire replacement,3,2
J98,Battery replacement,4,9
J99,Spark plug replacement,2,2
J100,ABS warning light diagnosis,3,3
