job_id,repair_type,repair_time_hours,priority,generation_params
J1,Oil change,3,2,"repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10)"
J2,Brake inspection,3,1,
J3,Check engine light diagnosis,4,10,
J4,Coolant system service,3,3,
J5,Alternator inspection,2,5,
J6,Tire pressure sensor reset,3,2,
J7,Check engine light diagnosis,1,9,
J8,Wheel alignment,3,5,
J9,Alternator inspection,4,3,
J10,Brake inspection,3,3,
J11,Battery replacement,4,5,
J12,Coolant system service,2,6,
J13,Suspension noise diagnosis,3,6,
J14,Coolant system service,2,5,
J15,Transmission inspection,1,7,
J16,Suspension noise diagnosis,1,9,
J17,Coolant system service,4,6,
J18,Tire replacement,3,8,
J19,Brake inspection,3,7,
J20,Alternator inspection,2,7,
J21,Brake pad replacement,3,1,
J22,Alternator inspection,4,4,
J23,Brake inspection,1,4,
J24,Alternator inspection,2,9,
J25,Suspension noise diagnosis,2,2,
J26,Oil change,1,9,
J27,ABS warning light diagnosis,3,9,
J28,Tire replacement,4,9,
J29,Engine diagnostic scan,3,3,
J30,Spark plug replacement,2,9,
J31,Alternator inspection,1,8,
J32,Suspension noise diagnosis,3,4,
J33,Oil change,4,8,
J34,Spark plug replacement,2,5,
J35,Transmission inspection,3,2,
J36,Transmission inspection,2,3,
J37,Spark plug replacement,2,5,
J38,Tire replacement,3,5,
J39,Spark plug replacement,1,9,
J40,Check engine light diagnosis,4,10,
J41,Engine diagnostic scan,3,6,
J42,Oil change,2,9,
J43,Transmission inspection,2,9,
J44,Oil change,3,4,
J45,Engine diagnostic scan,2,8,
J46,Battery replacement,3,8,
J47,Tire pressure sensor reset,4,1,
J48,Brake pad replacement,2,9,
J49,Spark plug replacement,1,3,
J50,Tire replacement,3,5,
J51,Engine diagnostic scan,4,6,
J52,Coolant system service,1,8,
J53,Coolant system service,1,10,
J54,Oil change,2,9,
J55,Engine diagnostic scan,3,1,
J56,Suspension noise diagnosis,4,3,
J57,Tire replacement,1,6,
J58,Brake inspection,2,7,
J59,Oil change,3,3,
J60,Check engine light diagnosis,4,2,
J61,Tire replacement,1,8,
J62,Tire replacement,2,9,
J63,Oil change,2,2,
J64,Spark plug replacement,2,7,
J65,Tire pressure sensor reset,4,6,
J66,Transmission inspection,2,4,
J67,Brake inspection,2,2,
J68,Brake inspection,1,5,
J69,Battery replacement,4,3,
J70,Tire pressure sensor reset,2,4,
J71,Tire pressure sensor reset,4,2,
J72,Coolant system service,2,9,
J73,Suspension noise diagnosis,3,6,
J74,Tire pressure sensor reset,3,2,
J75,Wheel alignment,3,6,
J76,Engine diagnostic scan,2,2,
J77,Suspension noise diagnosis,4,4,
J78,Brake inspection,3,3,
J79,Suspension noise diagnosis,2,2,
J80,Tire pressure sensor reset,2,5,
J81,Brake inspection,1,7,
J82,Battery replacement,2,6,
J83,Tire pressure sensor reset,3,8,
J84,Oil change,2,9,
J85,Brake inspection,2,7,
J86,Spark plug replacement,3,1,
J87,Brake inspection,4,9,
J88,Tire pressure sensor reset,3,1,
J89,Tire replacement,2,3,
J90,Suspension noise diagnosis,3,5,
J91,Coolant system service,2,2,
J92,Battery replacement,2,8,
J93,Brake inspection,2,1,
J94,Brake inspection,4,6,
J95,Suspension noise diagnosis,2,9,
J96,Spark plug replacement,4,1,
J97,Coolant system service,2,8,
J98,Engine diagnostic scan,1,1,
J99,Check engine light diagnosis,2,5,
J100,Tire replacement,4,3,
