# generation_params: repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10),,
job_id,repair_type,repair_time_hours,priority,scheduled
J1,Tire replacement,3,5,
J2,Engine diagnostic scan,1,5,
J3,Engine diagnostic scan,2,6,
J4,Wheel alignment,2,9,
J5,Alternator inspection,3,9,
J6,Alternator inspection,4,7,
J7,Tire replacement,3,3,
J8,Engine diagnostic scan,2,3,
J9,Brake inspection,2,1,
J10,Battery replacement,4,5,
J11,Oil change,4,10,
J12,Spark plug replacement,3,6,
J13,Tire pressure sensor reset,3,4,
J14,Brake inspection,4,8,
J15,Suspension noise diagnosis,1,5,
J16,Brake pad replacement,4,7,
J17,Suspension noise diagnosis,3,4,
J18,Check engine light diagnosis,2,6,
J19,Battery replacement,2,3,
J20,Wheel alignment,2,2,
J21,Tire pressure sensor reset,4,7,
J22,Tire pressure sensor reset,3,2,
J23,Brake pad replacement,3,4,
J24,Spark plug replacement,4,9,
J25,Tire replacement,2,7,
J26,Battery replacement,4,2,
J27,Engine diagnostic scan,2,6,
J28,Alternator inspection,3,6,
J29,Brake pad replacement,2,7,
J30,Tire replacement,1,9,
J31,ABS warning light diagnosis,3,7,
J32,Wheel alignment,2,2,
J33,Tire replacement,2,4,
J34,ABS warning light diagnosis,1,6,
J35,Brake pad replacement,3,4,
J36,Wheel alignment,1,6,
J37,ABS warning light diagnosis,1,9,
J38,Oil change,3,6,
J39,Spark plug replacement,2,9,
J40,Battery replacement,2,9,
J41,ABS warning light diagnosis,2,6,
J42,Brake inspection,4,4,
J43,Oil change,3,8,
J44,Engine diagnostic scan,2,4,
J45,Brake pad replacement,2,3,
J46,Transmission inspection,2,8,
J47,Tire replacement,1,5,
J48,Brake inspection,2,7,
J49,Spark plug replacement,3,8,
J50,Alternator inspection,3,2,
J51,Coolant system service,2,10,
J52,Spark plug replacement,2,9,
J53,ABS warning light diagnosis,2,7,
J54,Oil change,2,9,
J55,Brake pad replacement,3,4,
J56,Brake inspection,3,4,
J57,Tire pressure sensor reset,1,3,
J58,Alternator inspection,2,7,
J59,Spark plug replacement,2,8,
J60,Oil change,2,4,
J61,Battery replacement,4,8,
J62,Coolant system service,1,10,
J63,Alternator inspection,4,4,
J64,Check engine light diagnosis,4,9,
J65,ABS warning light diagnosis,1,8,
J66,Alternator inspection,1,6,
J67,Check engine light diagnosis,2,9,
J68,Tire replacement,2,4,
J69,Tire replacement,1,6,
J70,Coolant system service,2,10,
J71,Coolant system service,2,10,
J72,Spark plug replacement,2,3,
J73,Wheel alignment,4,3,
J74,Brake inspection,2,8,
J75,Spark plug replacement,2,7,
J76,Coolant system service,1,9,
J77,ABS warning light diagnosis,3,6,
J78,Brake pad replacement,1,8,
J79,Engine diagnostic scan,1,10,
J80,Tire pressure sensor reset,3,6,
J81,Engine diagnostic scan,3,3,
J82,Suspension noise diagnosis,2,4,
J83,Oil change,1,6,
J84,Transmission inspection,3,8,
J85,Suspension noise diagnosis,2,1,
J86,Alternator inspection,4,3,
J87,Engine diagnostic scan,3,6,
J88,Engine diagnostic scan,1,9,
J89,Transmission inspection,2,3,
J90,Check engine light diagnosis,3,2,
J91,Battery replacement,2,1,
J92,ABS warning light diagnosis,2,1,
J93,Engine diagnostic scan,3,8,
J94,ABS warning light diagnosis,3,4,
J95,Wheel alignment,1,8,
J96,Brake inspection,1,3,
J97,Oil change,3,7,
J98,Oil change,2,9,
J99,Tire replacement,2,9,
J100,Tire pressure sensor reset,3,6,
