# generation_params: repair_time: uniform(min=1, max=4) | priority: normal(min=1, max=10, mean=5, std=1.5)
job_id,repair_type,repair_time_hours,priority,scheduled
J1,Tire replacement,3,6,
J2,Tire pressure sensor reset,3,6,
J3,Suspension noise diagnosis,3,5,
J4,Oil change,2,5,
J5,ABS warning light diagnosis,3,6,
J6,Tire pressure sensor reset,2,5,
J7,Suspension noise diagnosis,2,5,
J8,ABS warning light diagnosis,3,3,
J9,Tire replacement,1,6,
J10,Oil change,1,2,
J11,Suspension noise diagnosis,2,8,
J12,Engine diagnostic scan,4,6,
J13,ABS warning light diagnosis,2,6,
J14,Alternator inspection,3,4,
J15,Transmission inspection,3,6,
J16,Coolant system service,1,6,
J17,Brake inspection,1,5,
J18,Battery replacement,3,5,
J19,Spark plug replacement,3,3,
J20,Battery replacement,2,5,
J21,Brake inspection,2,5,
J22,Wheel alignment,2,4,
J23,Engine diagnostic scan,2,6,
J24,Suspension noise diagnosis,1,7,TRUE
J25,Tire replacement,1,6,
J26,Transmission inspection,3,6,
J27,Engine diagnostic scan,3,4,
J28,Brake inspection,3,5,
J29,Tire pressure sensor reset,2,6,
J30,Suspension noise diagnosis,2,4,
J31,Coolant system service,1,6,
J32,Brake pad replacement,2,5,
J33,Tire replacement,4,6,
J34,Oil change,3,4,
J35,Oil change,4,5,
J36,Suspension noise diagnosis,3,2,
J37,Coolant system service,4,5,
J38,Brake inspection,3,8,
J39,Coolant system service,1,6,
J40,Coolant system service,2,5,
J41,Brake inspection,3,6,
J42,Wheel alignment,3,6,
J43,Tire replacement,2,5,
J44,Check engine light diagnosis,3,5,
J45,Battery replacement,1,4,
J46,Alternator inspection,3,4,
J47,Oil change,2,6,
J48,Brake inspection,4,6,
J49,Oil change,3,3,
J50,Engine diagnostic scan,2,5,
J51,Engine diagnostic scan,4,5,
J52,Suspension noise diagnosis,4,6,
J53,Tire pressure sensor reset,3,3,
J54,Battery replacement,3,6,
J55,Oil change,4,4,
J56,Oil change,3,4,
J57,Tire pressure sensor reset,3,4,
J58,Battery replacement,4,4,
J59,Engine diagnostic scan,4,8,
J60,Battery replacement,3,7,
J61,Engine diagnostic scan,1,4,
J62,Brake inspection,4,5,
J63,Brake pad replacement,2,9,
J64,Check engine light diagnosis,2,6,
