# generation_params: repair_time: uniform(min=1, max=4) | priority: normal(min=1, max=10, mean=5, std=1.5)
job_id,repair_type,repair_time_hours,priority
J1,Battery replacement,2,5
J2,Wheel alignment,2,5
J3,Battery replacement,2,2
J4,ABS warning light diagnosis,1,7
J5,Tire pressure sensor reset,4,4
J6,Tire pressure sensor reset,4,5
J7,Spark plug replacement,3,4
J8,Oil change,2,4
J9,Brake inspection,4,5
J10,ABS warning light diagnosis,2,4
J11,Alternator inspection,3,5
J12,Engine diagnostic scan,1,3
J13,Transmission inspection,4,3
J14,Brake inspection,3,5
J15,Brake inspection,3,4
J16,Check engine light diagnosis,1,6
J17,Oil change,4,4
J18,Alternator inspection,3,7
J19,Brake pad replacement,3,6
J20,Battery replacement,3,6
J21,Spark plug replacement,3,5
J22,Tire pressure sensor reset,2,4
J23,Tire pressure sensor reset,3,6
J24,Transmission inspection,4,4
J25,ABS warning light diagnosis,2,6
J26,Brake inspection,1,5
J27,Spark plug replacement,2,3
J28,Oil change,2,5
J29,Transmission inspection,2,5
J30,Check engine light diagnosis,3,5
J31,Oil change,2,3
J32,Tire pressure sensor reset,2,5
J33,Engine diagnostic scan,1,7
J34,ABS warning light diagnosis,3,4
J35,Tire replacement,3,2
J36,Tire replacement,2,4
J37,Engine diagnostic scan,4,4
J38,Tire pressure sensor reset,3,3
J39,Brake inspection,2,5
J40,Transmission inspection,4,8
J41,Battery replacement,3,6
J42,Suspension noise diagnosis,2,4
J43,ABS warning light diagnosis,3,5
J44,Brake pad replacement,2,3
J45,Tire pressure sensor reset,3,6
J46,Battery replacement,1,4
J47,Alternator inspection,1,4
J48,Coolant system service,2,5
J49,Wheel alignment,1,7
J50,Wheel alignment,1,5
J51,Wheel alignment,3,3
J52,Transmission inspection,4,4
J53,Tire pressure sensor reset,2,4
J54,Spark plug replacement,3,4
J55,Battery replacement,2,6
J56,Brake pad replacement,3,7
J57,Battery replacement,1,4
J58,Tire replacement,1,6
J59,Coolant system service,4,5
J60,Oil change,4,5
J61,Coolant system service,2,3
J62,Check engine light diagnosis,4,4
J63,Coolant system service,4,5
J64,Tire replacement,2,9
J65,Spark plug replacement,3,5
J66,Suspension noise diagnosis,4,4
J67,Coolant system service,1,6
J68,Brake pad replacement,4,4
J69,Tire replacement,3,5
J70,Engine diagnostic scan,3,4
J71,Alternator inspection,3,6
J72,Coolant system service,3,5
J73,ABS warning light diagnosis,1,6
J74,Spark plug replacement,3,4
J75,Alternator inspection,3,5
J76,Suspension noise diagnosis,2,3
J77,Alternator inspection,2,6
J78,Oil change,4,6
J79,Brake inspection,2,7
J80,Check engine light diagnosis,3,5
J81,Spark plug replacement,3,3
J82,Spark plug replacement,1,6
J83,ABS warning light diagnosis,1,5
J84,Brake pad replacement,2,4
J85,Tire replacement,3,5
J86,Spark plug replacement,4,4
J87,Coolant system service,4,3
J88,Coolant system service,3,2
J89,ABS warning light diagnosis,3,9
J90,Oil change,2,6
J91,Battery replacement,3,5
J92,Alternator inspection,4,6
J93,Suspension noise diagnosis,3,1
J94,Wheel alignment,4,3
J95,Check engine light diagnosis,2,5
J96,Engine diagnostic scan,2,4
J97,Wheel alignment,2,5
J98,Alternator inspection,2,5
J99,Wheel alignment,2,6
J100,Tire replacement,3,7
J101,Tire pressure sensor reset,2,5
J102,Brake pad replacement,3,6
J103,Brake inspection,2,3
J104,Check engine light diagnosis,4,6
J105,ABS warning light diagnosis,2,6
J106,Brake pad replacement,4,6
J107,Check engine light diagnosis,2,8
J108,ABS warning light diagnosis,1,6
J109,Alternator inspection,2,4
J110,Battery replacement,3,6
J111,Brake pad replacement,1,6
J112,Engine diagnostic scan,1,3
J113,Tire replacement,2,5
J114,Oil change,1,6
J115,Coolant system service,1,3
J116,Brake inspection,3,4
J117,Spark plug replacement,4,6
J118,Suspension noise diagnosis,1,3
J119,Suspension noise diagnosis,1,1
J120,Check engine light diagnosis,2,6
J121,Tire pressure sensor reset,2,5
J122,Check engine light diagnosis,1,6
J123,Suspension noise diagnosis,3,4
J124,Engine diagnostic scan,4,6
J125,Oil change,2,3
J126,ABS warning light diagnosis,2,5
J127,Alternator inspection,4,5
J128,Battery replacement,2,6
J129,Coolant system service,3,7
J130,Oil change,3,5
J131,Tire replacement,3,7
J132,Transmission inspection,2,6
J133,Oil change,3,4
J134,Spark plug replacement,3,5
J135,ABS warning light diagnosis,3,6
J136,Engine diagnostic scan,4,5
J137,Tire pressure sensor reset,3,4
J138,Transmission inspection,3,7
J139,Tire replacement,4,4
