# generation_params: repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10),,
job_id,repair_type,repair_time_hours,priority,scheduled
J1,Tire pressure sensor reset,2,4,
J2,Check engine light diagnosis,2,2,
J3,Coolant system service,4,5,
J4,Check engine light diagnosis,4,8,
J5,Wheel alignment,1,9,
J6,Tire pressure sensor reset,1,2,
J7,Tire pressure sensor reset,1,7,
J8,ABS warning light diagnosis,4,9,
J9,Brake pad replacement,3,7,
J10,Tire pressure sensor reset,2,8,
J11,Transmission inspection,1,4,
J12,Brake pad replacement,3,7,
J13,Spark plug replacement,2,4,
J14,Transmission inspection,2,2,
J15,Tire pressure sensor reset,3,7,
J16,Coolant system service,2,1,
J17,Suspension noise diagnosis,1,1,
J18,ABS warning light diagnosis,1,9,
J19,Battery replacement,1,9,
J20,Tire pressure sensor reset,3,5,
J21,Spark plug replacement,3,5,
J22,Alternator inspection,3,7,
J23,Tire replacement,3,2,
J24,Check engine light diagnosis,2,8,
J25,Battery replacement,2,6,
J26,Check engine light diagnosis,4,3,
J27,Engine diagnostic scan,1,7,
J28,Spark plug replacement,4,2,
J29,Engine diagnostic scan,2,4,
J30,Wheel alignment,2,6,
J31,Tire replacement,3,3,
J32,Alternator inspection,3,9,
J33,Coolant system service,2,7,
J34,Suspension noise diagnosis,2,7,
J35,Battery replacement,3,7,
J36,Brake pad replacement,3,3,
J37,Check engine light diagnosis,2,1,
J38,Suspension noise diagnosis,1,4,
J39,Brake pad replacement,3,5,
J40,Oil change,2,7,
J41,Tire pressure sensor reset,3,8,
J42,Check engine light diagnosis,2,5,
J43,Coolant system service,4,4,
J44,ABS warning light diagnosis,3,2,
J45,Brake inspection,3,3,
J46,Brake pad replacement,3,7,
J47,Check engine light diagnosis,4,9,
J48,Tire pressure sensor reset,4,4,
J49,Alternator inspection,3,3,
J50,Spark plug replacement,1,9,
J51,Wheel alignment,1,3,
J52,Tire replacement,3,4,
J53,Transmission inspection,4,8,
J54,Tire pressure sensor reset,4,4,
J55,Spark plug replacement,1,8,
J56,Battery replacement,2,7,
J57,Oil change,4,6,
J58,Tire replacement,2,3,
J59,Brake pad replacement,1,10,
J60,Battery replacement,2,6,
J61,Check engine light diagnosis,2,10,
J62,Transmission inspection,2,4,
J63,Coolant system service,2,5,
J64,Engine diagnostic scan,3,6,
J65,Transmission inspection,1,5,
J66,Coolant system service,3,10,
J67,ABS warning light diagnosis,3,7,
J68,Alternator inspection,2,8,
J69,ABS warning light diagnosis,2,3,
J70,Tire pressure sensor reset,2,10,
J71,Brake inspection,4,2,
J72,Engine diagnostic scan,2,6,
J73,Coolant system service,2,4,
J74,Engine diagnostic scan,3,4,
