# generation_params: repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10)
job_id,repair_type,repair_time_hours,priority
J1,Coolant system service,1,6
J2,Brake pad replacement,3,8
J3,Oil change,3,8
J4,Tire replacement,3,8
J5,Suspension noise diagnosis,2,4
J6,Suspension noise diagnosis,3,7
J7,Coolant system service,2,9
J8,Spark plug replacement,3,4
J9,ABS warning light diagnosis,2,10
J10,Oil change,2,5
J11,Brake inspection,1,6
J12,Coolant system service,4,9
J13,Tire replacement,1,4
J14,Wheel alignment,1,3
J15,Check engine light diagnosis,2,4
J16,Check engine light diagnosis,2,7
J17,Spark plug replacement,2,6
J18,Alternator inspection,3,8
J19,Tire replacement,4,5
J20,ABS warning light diagnosis,1,8
J21,Suspension noise diagnosis,4,7
J22,Brake pad replacement,2,6
J23,Brake inspection,1,3
J24,Brake inspection,3,9
J25,Engine diagnostic scan,2,4
J26,Battery replacement,2,9
J27,Spark plug replacement,2,6
J28,Brake inspection,2,10
J29,Tire replacement,2,8
J30,Alternator inspection,1,3
J31,Tire replacement,2,3
J32,Engine diagnostic scan,2,6
J33,Tire pressure sensor reset,3,8
J34,Coolant system service,3,4
J35,Engine diagnostic scan,3,10
J36,Check engine light diagnosis,4,9
J37,Check engine light diagnosis,4,4
J38,Engine diagnostic scan,2,7
J39,Tire pressure sensor reset,3,6
J40,Check engine light diagnosis,3,9
J41,Brake pad replacement,4,8
J42,Engine diagnostic scan,2,6
J43,Brake inspection,2,2
J44,Wheel alignment,2,3
J45,Suspension noise diagnosis,4,2
J46,Oil change,2,7
J47,Alternator inspection,2,4
J48,ABS warning light diagnosis,1,6
J49,Tire pressure sensor reset,3,3
J50,Coolant system service,1,2
J51,Brake pad replacement,2,5
J52,Tire pressure sensor reset,3,9
J53,Suspension noise diagnosis,2,6
J54,Oil change,2,7
J55,Check engine light diagnosis,3,4
J56,ABS warning light diagnosis,1,7
J57,Brake inspection,4,7
J58,Spark plug replacement,2,9
J59,Wheel alignment,4,7
J60,Alternator inspection,3,10
J61,ABS warning light diagnosis,4,1
J62,Tire pressure sensor reset,1,3
J63,Coolant system service,1,7
J64,Wheel alignment,2,1
J65,Alternator inspection,2,4
J66,Suspension noise diagnosis,2,2
J67,Brake inspection,2,4
J68,Coolant system service,1,6
J69,Brake pad replacement,2,2
J70,Tire replacement,3,2
J71,Suspension noise diagnosis,4,7
J72,Transmission inspection,1,7
J73,Tire pressure sensor reset,4,10
J74,Alternator inspection,1,7
J75,Wheel alignment,2,1
J76,Battery replacement,3,5
J77,Transmission inspection,2,5
J78,Transmission inspection,3,9
J79,Transmission inspection,2,8
J80,Engine diagnostic scan,1,8
J81,Spark plug replacement,4,7
J82,Spark plug replacement,3,5
J83,Tire pressure sensor reset,3,6
J84,Tire replacement,3,2
J85,Brake inspection,2,7
J86,Battery replacement,2,9
J87,Brake pad replacement,3,2
J88,Alternator inspection,2,3
J89,Brake inspection,4,7
J90,Tire pressure sensor reset,3,7
J91,Oil change,4,6
J92,Tire replacement,3,6
J93,Alternator inspection,3,7
J94,Suspension noise diagnosis,3,4
J95,Alternator inspection,3,6
J96,Wheel alignment,1,9
J97,Battery replacement,4,4
J98,Alternator inspection,2,5
J99,Suspension noise diagnosis,2,10
J100,Check engine light diagnosis,2,8
J101,Brake inspection,2,9
J102,Wheel alignment,2,10
J103,Transmission inspection,1,9
J104,ABS warning light diagnosis,3,7
J105,Brake inspection,3,7
J106,Battery replacement,2,4
J107,Brake inspection,2,8
J108,Check engine light diagnosis,4,9
J109,Coolant system service,2,4
J110,Transmission inspection,2,2
J111,Check engine light diagnosis,2,9
J112,Battery replacement,4,2
J113,Battery replacement,2,2
J114,Alternator inspection,1,6
J115,Coolant system service,1,2
J116,Coolant system service,4,5
J117,Battery replacement,2,10
J118,Oil change,3,6
J119,Battery replacement,4,5
J120,Brake pad replacement,3,5
J121,Coolant system service,3,3
J122,Transmission inspection,3,6
J123,Battery replacement,4,6
J124,Tire replacement,2,7
J125,Oil change,4,8
J126,Oil change,3,4
J127,Engine diagnostic scan,3,3
J128,Battery replacement,4,4
J129,Engine diagnostic scan,3,7
J130,Suspension noise diagnosis,3,9
J131,Brake inspection,3,10
J132,Brake pad replacement,4,10
J133,Battery replacement,2,2
J134,Alternator inspection,1,3
J135,Transmission inspection,1,2
J136,Brake inspection,3,8
J137,Tire pressure sensor reset,4,6
J138,Oil change,2,9
J139,Brake pad replacement,2,9
J140,Engine diagnostic scan,4,8
J141,Brake inspection,3,5
J142,Battery replacement,3,3
J143,ABS warning light diagnosis,2,4
J144,Engine diagnostic scan,4,8
J145,Spark plug replacement,3,1
J146,Coolant system service,3,5
J147,Engine diagnostic scan,2,5
J148,Coolant system service,3,3
J149,Suspension noise diagnosis,1,5
J150,Alternator inspection,4,6
J151,Engine diagnostic scan,3,6
J152,Brake pad replacement,1,8
J153,Suspension noise diagnosis,3,8
J154,Brake pad replacement,1,9
J155,Spark plug replacement,2,10
J156,Brake pad replacement,3,6
J157,Engine diagnostic scan,1,10
J158,Check engine light diagnosis,3,5
J159,Suspension noise diagnosis,1,1
J160,ABS warning light diagnosis,4,9
J161,Brake pad replacement,1,5
J162,Brake inspection,4,7
J163,Coolant system service,3,5
J164,Battery replacement,1,7
J165,Brake pad replacement,1,5
J166,Coolant system service,2,8
J167,Transmission inspection,2,8
J168,Engine diagnostic scan,2,1
J169,Brake pad replacement,2,5
J170,Suspension noise diagnosis,2,3
J171,Spark plug replacement,2,5
J172,Battery replacement,4,9
J173,Suspension noise diagnosis,2,8
J174,Coolant system service,3,5
J175,Check engine light diagnosis,4,4
J176,Tire pressure sensor reset,4,9
J177,Tire replacement,2,1
J178,Wheel alignment,4,5
J179,Wheel alignment,3,5
J180,Battery replacement,1,4
J181,Transmission inspection,2,5
J182,Alternator inspection,4,3
J183,Brake inspection,3,2
J184,Wheel alignment,2,5
J185,Suspension noise diagnosis,2,6
J186,Brake pad replacement,3,3
J187,Tire pressure sensor reset,3,8
J188,ABS warning light diagnosis,2,5
J189,Tire pressure sensor reset,2,5
J190,Oil change,1,7
J191,ABS warning light diagnosis,3,8
J192,Alternator inspection,4,6
J193,ABS warning light diagnosis,3,3
J194,Transmission inspection,1,7
J195,Check engine light diagnosis,2,4
J196,Check engine light diagnosis,4,9
J197,Tire pressure sensor reset,1,9
J198,Transmission inspection,1,4
J199,Engine diagnostic scan,1,1
J200,Spark plug replacement,1,8
J201,Transmission inspection,2,8
J202,Engine diagnostic scan,2,9
J203,Battery replacement,3,9
J204,Suspension noise diagnosis,2,7
J205,Wheel alignment,3,4
J206,Spark plug replacement,1,7
J207,Coolant system service,3,3
J208,Brake pad replacement,3,9
J209,Brake inspection,1,10
J210,Spark plug replacement,3,9
J211,Brake inspection,1,7
J212,Engine diagnostic scan,3,5
J213,Wheel alignment,4,1
J214,Engine diagnostic scan,3,10
J215,ABS warning light diagnosis,4,7
J216,Oil change,4,9
J217,Spark plug replacement,3,9
J218,Tire replacement,4,5
J219,Battery replacement,2,6
J220,Brake inspection,3,3
J221,Wheel alignment,3,7
J222,Tire pressure sensor reset,3,4
J223,Check engine light diagnosis,3,6
J224,Suspension noise diagnosis,1,3
J225,Tire replacement,4,3
J226,Engine diagnostic scan,4,3
J227,Engine diagnostic scan,1,3
J228,Coolant system service,3,7
J229,Suspension noise diagnosis,1,3
J230,Engine diagnostic scan,2,3
J231,Oil change,1,9
J232,Brake pad replacement,3,3
J233,Battery replacement,4,9
J234,Engine diagnostic scan,2,2
J235,ABS warning light diagnosis,2,9
J236,Oil change,2,6
J237,Oil change,4,3
J238,Check engine light diagnosis,3,10
J239,Wheel alignment,1,3
J240,Brake pad replacement,1,4
J241,Oil change,2,8
J242,Suspension noise diagnosis,3,9
J243,Tire replacement,3,8
J244,Tire pressure sensor reset,3,1
J245,Engine diagnostic scan,4,7
J246,Engine diagnostic scan,2,5
J247,Tire replacement,2,6
J248,Coolant system service,1,4
J249,Coolant system service,3,2
J250,Transmission inspection,3,6
J251,ABS warning light diagnosis,2,10
J252,Alternator inspection,1,1
J253,Alternator inspection,2,8
J254,Engine diagnostic scan,2,3
J255,Spark plug replacement,2,2
J256,Transmission inspection,3,3
J257,Transmission inspection,3,4
J258,Engine diagnostic scan,4,3
J259,Tire pressure sensor reset,3,5
J260,Engine diagnostic scan,3,2
J261,Brake pad replacement,1,5
J262,Battery replacement,2,9
J263,ABS warning light diagnosis,1,9
J264,Transmission inspection,4,5
J265,Check engine light diagnosis,4,2
J266,Suspension noise diagnosis,4,2
J267,Coolant system service,1,3
J268,Brake pad replacement,3,1
J269,Coolant system service,3,2
J270,Battery replacement,2,8
J271,Alternator inspection,1,3
J272,Engine diagnostic scan,2,3
J273,Wheel alignment,3,7
J274,Tire replacement,2,10
J275,Brake pad replacement,2,6
J276,Alternator inspection,4,8
J277,Tire replacement,2,4
J278,Wheel alignment,4,8
J279,Tire replacement,2,4
J280,Battery replacement,4,4
J281,Battery replacement,2,10
J282,Coolant system service,3,8
J283,Tire pressure sensor reset,2,3
J284,Tire pressure sensor reset,3,6
J285,Suspension noise diagnosis,4,7
J286,Battery replacement,3,6
J287,ABS warning light diagnosis,2,9
J288,Check engine light diagnosis,3,4
J289,Coolant system service,2,6
J290,Battery replacement,2,3
J291,Oil change,2,7
J292,Wheel alignment,3,4
J293,Coolant system service,2,8
J294,Engine diagnostic scan,4,1
J295,Battery replacement,3,7
J296,ABS warning light diagnosis,1,3
J297,Tire pressure sensor reset,2,8
J298,Alternator inspection,3,2
J299,Check engine light diagnosis,1,8
J300,Coolant system service,3,7
J301,Spark plug replacement,4,9
J302,Oil change,2,2
J303,Check engine light diagnosis,4,5
J304,Tire replacement,1,3
J305,Transmission inspection,3,1
J306,Spark plug replacement,2,5
J307,Battery replacement,1,3
J308,Coolant system service,4,3
J309,Tire pressure sensor reset,1,3
J310,Wheel alignment,3,4
J311,Oil change,2,4
J312,Engine diagnostic scan,1,3
J313,Alternator inspection,2,1
J314,Tire pressure sensor reset,2,4
J315,Transmission inspection,4,4
J316,Transmission inspection,1,9
J317,Tire pressure sensor reset,3,3
J318,ABS warning light diagnosis,2,6
J319,Wheel alignment,2,5
J320,Suspension noise diagnosis,3,7
J321,Brake inspection,2,3
J322,Spark plug replacement,4,9
J323,ABS warning light diagnosis,3,4
J324,Oil change,3,5
J325,Suspension noise diagnosis,1,10
J326,Suspension noise diagnosis,1,4
J327,Brake pad replacement,2,4
J328,Suspension noise diagnosis,3,3
J329,Brake pad replacement,3,6
J330,Brake pad replacement,2,2
J331,Battery replacement,3,2
J332,Battery replacement,2,4
J333,Oil change,2,5
J334,Oil change,4,5
J335,Tire replacement,2,10
J336,Transmission inspection,2,5
J337,Oil change,1,8
J338,Suspension noise diagnosis,4,3
J339,ABS warning light diagnosis,3,3
J340,Tire pressure sensor reset,4,3
J341,Transmission inspection,3,6
J342,Alternator inspection,3,2
J343,Spark plug replacement,3,2
J344,Transmission inspection,3,3
J345,Brake pad replacement,2,2
J346,Battery replacement,1,9
J347,Check engine light diagnosis,1,10
J348,Brake inspection,2,5
J349,Transmission inspection,3,10
J350,Transmission inspection,2,2
J351,Alternator inspection,1,9
J352,Check engine light diagnosis,3,3
J353,Tire pressure sensor reset,3,7
J354,Coolant system service,2,7
J355,Brake pad replacement,4,5
J356,Transmission inspection,4,6
J357,Battery replacement,2,6
J358,Spark plug replacement,1,5
J359,Check engine light diagnosis,4,9
J360,Spark plug replacement,4,3
J361,Spark plug replacement,3,3
J362,Transmission inspection,2,3
J363,Battery replacement,3,2
J364,Check engine light diagnosis,3,5
J365,Brake pad replacement,3,6
J366,Coolant system service,3,6
J367,Transmission inspection,2,5
J368,Coolant system service,3,5
J369,Suspension noise diagnosis,3,4
J370,Alternator inspection,3,6
J371,Coolant system service,3,9
J372,Engine diagnostic scan,3,8
J373,ABS warning light diagnosis,3,3
J374,Coolant system service,2,9
J375,Brake pad replacement,3,4
J376,Oil change,1,4
J377,Spark plug replacement,4,5
J378,Oil change,3,5
J379,Transmission inspection,3,5
J380,Battery replacement,2,2
J381,Tire replacement,3,4
J382,Suspension noise diagnosis,1,4
J383,Spark plug replacement,2,5
J384,Brake pad replacement,1,1
J385,Oil change,1,3
J386,Tire pressure sensor reset,2,7
J387,Suspension noise diagnosis,3,4
J388,Spark plug replacement,3,9
J389,Coolant system service,1,9
J390,ABS warning light diagnosis,2,5
J391,Alternator inspection,2,2
J392,Tire pressure sensor reset,3,9
J393,Brake pad replacement,2,5
J394,Transmission inspection,1,2
J395,Check engine light diagnosis,2,4
J396,Alternator inspection,1,10
J397,Coolant system service,2,2
J398,Tire pressure sensor reset,1,9
J399,Brake inspection,1,7
J400,Alternator inspection,4,7
J401,Suspension noise diagnosis,3,5
J402,Alternator inspection,1,9
J403,Tire pressure sensor reset,1,4
J404,Suspension noise diagnosis,2,3
J405,Brake inspection,3,1
J406,Tire replacement,3,2
J407,Tire pressure sensor reset,3,7
J408,Transmission inspection,3,2
J409,Wheel alignment,3,5
J410,Check engine light diagnosis,2,7
J411,Battery replacement,4,4
J412,ABS warning light diagnosis,2,2
J413,Spark plug replacement,2,3
J414,Brake pad replacement,4,3
J415,Alternator inspection,4,3
J416,Alternator inspection,2,9
J417,Engine diagnostic scan,3,8
J418,ABS warning light diagnosis,2,4
J419,Tire replacement,2,5
J420,Wheel alignment,2,3
J421,Check engine light diagnosis,3,6
J422,Wheel alignment,1,7
J423,Alternator inspection,2,9
J424,Engine diagnostic scan,2,6
J425,Engine diagnostic scan,4,6
J426,Brake inspection,1,9
J427,Brake inspection,2,5
J428,Coolant system service,3,7
J429,Battery replacement,2,3
J430,Check engine light diagnosis,1,10
J431,Transmission inspection,2,8
J432,Engine diagnostic scan,2,2
J433,Battery replacement,1,9
J434,Suspension noise diagnosis,4,7
J435,Transmission inspection,1,8
J436,Tire pressure sensor reset,3,9
J437,Tire replacement,3,10
J438,Brake pad replacement,1,8
J439,Alternator inspection,4,8
J440,Tire replacement,4,7
J441,Tire replacement,2,2
J442,Brake inspection,4,6
J443,Battery replacement,4,8
J444,Battery replacement,2,8
J445,Oil change,2,5
J446,Brake pad replacement,2,9
J447,ABS warning light diagnosis,3,2
J448,Brake pad replacement,3,8
J449,Alternator inspection,3,6
J450,Suspension noise diagnosis,3,5
J451,Alternator inspection,3,6
J452,Engine diagnostic scan,3,6
J453,Tire pressure sensor reset,1,10
J454,Spark plug replacement,3,6
J455,Oil change,3,3
J456,Brake pad replacement,3,10
J457,Oil change,4,4
J458,Battery replacement,4,8
J459,Wheel alignment,3,5
J460,Alternator inspection,2,5
J461,Coolant system service,3,4
J462,ABS warning light diagnosis,3,3
J463,Suspension noise diagnosis,2,7
J464,Check engine light diagnosis,3,4
J465,Tire pressure sensor reset,3,7
J466,Check engine light diagnosis,3,8
J467,Tire replacement,3,7
J468,Suspension noise diagnosis,3,9
J469,Brake pad replacement,1,2
J470,Suspension noise diagnosis,2,8
J471,Tire pressure sensor reset,3,5
J472,Spark plug replacement,3,2
J473,Suspension noise diagnosis,1,5
J474,Tire replacement,1,7
J475,ABS warning light diagnosis,1,2
J476,Brake inspection,1,8
J477,ABS warning light diagnosis,1,5
J478,Tire replacement,4,6
J479,Suspension noise diagnosis,4,7
J480,ABS warning light diagnosis,3,7
J481,Transmission inspection,3,6
J482,Brake pad replacement,3,6
J483,Alternator inspection,4,6
J484,Wheel alignment,2,4
J485,Tire replacement,4,9
J486,Brake pad replacement,4,6
J487,Coolant system service,3,1
J488,Alternator inspection,2,8
J489,Brake inspection,2,3
J490,Tire pressure sensor reset,1,5
J491,Brake pad replacement,3,2
J492,Brake pad replacement,2,6
J493,Wheel alignment,1,2
J494,Brake pad replacement,2,4
J495,ABS warning light diagnosis,2,6
J496,ABS warning light diagnosis,3,9
J497,Battery replacement,4,2
J498,Battery replacement,2,1
J499,Wheel alignment,2,5
J500,Suspension noise diagnosis,3,1
J501,Spark plug replacement,3,6
J502,Tire pressure sensor reset,2,9
J503,Suspension noise diagnosis,4,10
J504,Check engine light diagnosis,3,10
J505,Tire replacement,4,7
J506,Oil change,3,6
J507,Suspension noise diagnosis,2,5
J508,Engine diagnostic scan,1,2
J509,Transmission inspection,4,10
J510,Coolant system service,3,2
J511,Battery replacement,1,6
J512,Engine diagnostic scan,1,1
J513,Brake inspection,2,2
J514,Tire pressure sensor reset,2,9
J515,Suspension noise diagnosis,4,10
J516,Battery replacement,1,8
J517,Suspension noise diagnosis,2,2
J518,Spark plug replacement,2,7
J519,Check engine light diagnosis,4,2
J520,Alternator inspection,3,3
J521,Wheel alignment,3,1
J522,Brake pad replacement,3,5
J523,Suspension noise diagnosis,2,8
J524,Brake inspection,1,7
J525,Wheel alignment,3,8
J526,Engine diagnostic scan,2,4
J527,Tire pressure sensor reset,2,10
J528,ABS warning light diagnosis,2,1
J529,Alternator inspection,3,8
J530,Alternator inspection,2,5
J531,Battery replacement,3,9
J532,Tire replacement,2,9
J533,Brake pad replacement,3,1
J534,Wheel alignment,2,1
J535,ABS warning light diagnosis,4,10
J536,Suspension noise diagnosis,1,2
J537,Check engine light diagnosis,4,2
J538,Alternator inspection,1,7
J539,Suspension noise diagnosis,2,6
J540,Spark plug replacement,4,3
J541,Tire pressure sensor reset,2,8
J542,Alternator inspection,2,8
J543,Tire replacement,4,3
J544,Transmission inspection,2,3
J545,Check engine light diagnosis,3,6
J546,Tire replacement,2,8
